id,facility_type,target_facility_name,road_name,address,latitude,hardness,organization_name,police_station_name,whether_install,count_install,base_date
,유치원,다모아유치원,대전광역시 서구 월평동로 83,대전광역시 서구 월평동 311-1,36.36117432,127.3663032,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,다모아유치원,대전광역시 서구 월평동로 83,대전광역시 서구 월평동 311-1,36.36117432,127.3663032,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,다모아유치원,대전광역시 서구 월평동로 83,대전광역시 서구 월평동 311-1,36.36117432,127.3663032,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,은아유치원,대전광역시 서구 가수원로 72,대전광역시 서구 가수원동 769-2,36.30232905,127.3521923,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,은아유치원,대전광역시 서구 가수원로 72,대전광역시 서구 가수원동 769-2,36.30232905,127.3521923,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,은아유치원,대전광역시 서구 가수원로 72,대전광역시 서구 가수원동 769-2,36.30232905,127.3521923,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,평화유치원,대전광역시 서구 월평중로13번길 53,,36.35552364,127.360709,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,평화유치원,대전광역시 서구 월평중로13번길 53,,36.35552364,127.360709,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,평화유치원,대전광역시 서구 월평중로13번길 53,,36.35552364,127.360709,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,어린이집,돌샘어린이집,대전광역시 서구 계백로1300번길 124,대전광역시 서구 정림동 19-3,36.30309667,127.3692511,대전광역시 서구청,서부경찰서,Y,2,2022-04-27
,어린이집,돌샘어린이집,대전광역시 서구 계백로1300번길 124,대전광역시 서구 정림동 19-3,36.30309667,127.3692511,대전광역시 서구청,서부경찰서,Y,2,2022-04-27
,어린이집,돌샘어린이집,대전광역시 서구 계백로1300번길 124,대전광역시 서구 정림동 19-3,36.30309667,127.3692511,대전광역시 서구청,서부경찰서,Y,2,2022-04-27
,어린이집,대전시립어린이집,대전광역시 서구 신갈마로195번길 51,대전광역시 서구 갈마동 321-1,36.35065165,127.364982,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,어린이집,대전시립어린이집,대전광역시 서구 신갈마로195번길 51,대전광역시 서구 갈마동 321-1,36.35065165,127.364982,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,어린이집,대전시립어린이집,대전광역시 서구 신갈마로195번길 51,대전광역시 서구 갈마동 321-1,36.35065165,127.364982,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,어린이집,물댄동산어린이집,대전광역시 서구 계룡로416번길 28,,36.348895,127.372887,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,어린이집,물댄동산어린이집,대전광역시 서구 계룡로416번길 28,,36.348895,127.372887,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,어린이집,물댄동산어린이집,대전광역시 서구 계룡로416번길 28,,36.348895,127.372887,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
